[INFO] [1775501119.098824164] [pi_metrics_publisher]: Pi Metrics | t: 8.257 | CPU: 70.0% | Mem: 12.6% | Temp: 69.6 C
[INFO] [1775501119.149230182] [pi_metrics_publisher]: Pi Metrics | t: 8.307 | CPU: 63.2% | Mem: 12.6% | Temp: 69.1 C
[INFO] [1775501119.198479904] [pi_metrics_publisher]: Pi Metrics | t: 8.357 | CPU: 57.9% | Mem: 12.7% | Temp: 70.6 C
[INFO] [1775501119.248532182] [pi_metrics_publisher]: Pi Metrics | t: 8.407 | CPU: 52.6% | Mem: 12.7% | Temp: 70.1 C
[INFO] [1775501119.298661627] [pi_metrics_publisher]: Pi Metrics | t: 8.457 | CPU: 81.0% | Mem: 12.7% | Temp: 70.1 C
[INFO] [1775501119.349642330] [pi_metrics_publisher]: Pi Metrics | t: 8.508 | CPU: 85.7% | Mem: 12.8% | Temp: 69.1 C
[INFO] [1775501119.405521515] [pi_metrics_publisher]: Pi Metrics | t: 8.564 | CPU: 91.3% | Mem: 12.8% | Temp: 69.6 C
[INFO] [1775501119.449569423] [pi_metrics_publisher]: Pi Metrics | t: 8.608 | CPU: 100.0% | Mem: 12.8% | Temp: 69.6 C
[INFO] [1775501119.505758978] [pi_metrics_publisher]: Pi Metrics | t: 8.664 | CPU: 95.5% | Mem: 12.9% | Temp: 70.6 C
[INFO] [1775501119.604537478] [pi_metrics_publisher]: Pi Metrics | t: 8.763 | CPU: 100.0% | Mem: 13.4% | Temp: 70.1 C
[INFO] [1775501119.650524774] [pi_metrics_publisher]: Pi Metrics | t: 8.809 | CPU: 100.0% | Mem: 13.5% | Temp: 70.1 C
[INFO] [1775501119.709656997] [pi_metrics_publisher]: Pi Metrics | t: 8.868 | CPU: 100.0% | Mem: 13.6% | Temp: 70.1 C
[INFO] [1775501119.801221608] [pi_metrics_publisher]: Pi Metrics | t: 8.917 | CPU: 100.0% | Mem: 13.7% | Temp: 70.6 C
[INFO] [1775501119.803083200] [pi_metrics_publisher]: Pi Metrics | t: 8.961 | CPU: 100.0% | Mem: 13.8% | Temp: 70.6 C
[INFO] [1775501119.865617682] [pi_metrics_publisher]: Pi Metrics | t: 9.024 | CPU: 100.0% | Mem: 13.8% | Temp: 70.1 C
[INFO] [1775501119.898682941] [pi_metrics_publisher]: Pi Metrics | t: 9.057 | CPU: 92.9% | Mem: 13.9% | Temp: 71.1 C
[INFO] [1775501119.948614922] [pi_metrics_publisher]: Pi Metrics | t: 9.107 | CPU: 100.0% | Mem: 13.9% | Temp: 70.1 C
[INFO] [1775501119.999357274] [pi_metrics_publisher]: Pi Metrics | t: 9.157 | CPU: 95.2% | Mem: 14.0% | Temp: 70.6 C
[INFO] [1775501120.049309712] [pi_metrics_publisher]: Pi Metrics | t: 9.208 | CPU: 90.0% | Mem: 14.0% | Temp: 71.1 C
[INFO] [1775501120.098626682] [pi_metrics_publisher]: Pi Metrics | t: 9.257 | CPU: 100.0% | Mem: 14.0% | Temp: 71.1 C
[INFO] [1775501120.168007176] [pi_metrics_publisher]: Pi Metrics | t: 9.317 | CPU: 95.8% | Mem: 14.1% | Temp: 70.1 C
[INFO] [1775501120.198803027] [pi_metrics_publisher]: Pi Metrics | t: 9.357 | CPU: 93.3% | Mem: 14.1% | Temp: 70.6 C
