time,cpu,mem,temp
42.056,57.9,25.7,76.4
42.106,63.2,25.7,76.4
42.156,60.0,25.7,76.0
42.206,60.0,25.7,76.4
42.256,72.7,25.7,76.9
42.312,71.4,25.7,76.0
42.356,94.1,25.7,76.9
42.406,83.3,25.7,76.4
42.459,100.0,25.7,76.4
42.512,100.0,25.7,76.9
42.556,100.0,25.7,77.4
42.609,95.5,25.8,77.4
42.656,88.2,25.8,76.4
42.712,77.3,25.8,77.4
42.762,84.2,25.8,77.4
42.806,66.7,25.7,76.9
42.856,60.0,25.7,77.4
42.909,57.1,25.7,76.4
42.956,55.6,25.7,76.4
43.006,52.6,25.7,76.4
43.056,61.9,25.7,76.9
43.106,55.0,25.7,76.9
43.158,73.7,25.7,76.0
43.206,58.8,25.7,77.4
43.256,52.4,25.7,76.9
43.306,68.4,25.7,77.4
43.356,63.2,25.7,77.4
43.406,68.4,25.7,76.4
43.458,63.2,25.7,76.4
43.508,57.9,25.7,76.4
43.556,52.6,25.7,76.4
43.606,72.2,25.7,76.9
